Goods ,Agriculture,Crop production [111],"13,554",,
Goods ,Agriculture,Animal production [112],"5,543",,
Goods ,Agriculture,Forestry and logging [113],"4,602",,
Goods ,Agriculture,"Fishing, hunting and trapping [114]",987,,
Goods ,Agriculture,Support activities for agriculture and forestry [115],"2,647",,
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Oil and Gas extraction,Conventional oil and gas extraction [211113],"68,656"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Oil and Gas extraction,Non-conventional oil extraction [211114],"51,456"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Coal mining [2121],"1,496"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Iron ore mining [21221],"1,450"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Gold and silver ore mining [21222],"3,125"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,"Copper, nickel, lead and zinc ore mining [21223]","9,691"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Other metal ore mining [21229],"1,425"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Stone mining and quarrying [21231],936
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [21232]","1,174"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Potash mining [212396],"1,712"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Mining & quarrying,Other non-metallic mineral mining and quarrying (except potash) [21239X] 3,"2,080"
Goods ,Energy and Mining,"Mining, quarrying, and oil and gas extraction	","Support activities for mining and oil and gas extraction	",Support activities for mining and oil and gas extraction [213],"9,834"
Goods ,Utilities,"Electric power generation, transmission and distribution [2211]","30,975",,
Goods ,Utilities,Natural gas distribution [2212],"5,494",,
Goods ,Utilities,"Water, sewage and other systems [2213]","2,980",,
Goods ,Construction,Residential building construction [23A],"47,270",,
Goods ,Construction,Non-residential building construction [23B],"17,983",,
Goods ,Construction,Repair construction [23D],"24,890",,
Goods ,Construction,Engineering and other construction activities [23X],"38,595",,
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Animal food manufacturing [3111],"1,704"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Grain and oilseed milling [3112],"3,190"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Sugar and confectionery product manufacturing [3113],"1,136"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Fruit and vegetable preserving and specialty food manufacturing [3114],"2,597"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Dairy product manufacturing [3115],"3,052"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Meat product manufacturing [3116],"6,356"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Seafood product preparation and packaging [3117],"1,313"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Bakeries and tortilla manufacturing [3118],"3,070"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Other food manufacturing [3119],"4,551"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Beverage and Tobacco Manufacturing,Soft drink and ice manufacturing [31211],"1,441"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Beverage and Tobacco Manufacturing,Breweries [31212],"2,949"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Beverage and Tobacco Manufacturing,Wineries and distilleries [3121A] 3,"1,161"
Goods ,Manufacturing,"Non-durable manufacturing industries	",Beverage and Tobacco Manufacturing,Tobacco manufacturing [3122],681
Goods ,Manufacturing,"Non-durable manufacturing industries	","Textile, clothing and leather product manufacturing	",Textile and textile product mills [31A] 3,"1,313"
Goods ,Manufacturing,"Non-durable manufacturing industries	","Textile, clothing and leather product manufacturing	",Clothing and leather and allied product manufacturing [31B] 3,"1,265"
Goods ,Manufacturing,Durable manufacturing industries,"Wood product manufacturing	",Sawmills and wood preservation [3211],"4,486"
Goods ,Manufacturing,Durable manufacturing industries,"Wood product manufacturing	","Veneer, plywood and engineered wood product manufacturing [3212]","3,523"
Goods ,Manufacturing,Durable manufacturing industries,"Wood product manufacturing	",Other wood product manufacturing [3219],"2,633"
Goods ,Manufacturing,Paper and Printing,"Paper manufacturing	","Pulp, paper and paperboard mills [3221]","4,308"
Goods ,Manufacturing,Paper and Printing,"Paper manufacturing	",Converted paper product manufacturing [3222],"3,381"
Goods ,Manufacturing,Paper and Printing,"Printing and related support activities	",Printing and related support activities [323],"4,715"
Goods ,Manufacturing,Energy sector,"Petroleum and coal product manufacturing	",Petroleum refineries [32411],"4,502"
Goods ,Manufacturing,"Chemical, plastics and rubber","Petroleum and coal product manufacturing	",Petroleum and coal products manufacturing (except petroleum refineries) [3241A] 3,741
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	",Basic chemical manufacturing [3251],"2,404"
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [3252]","1,715"
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	","Pesticide, fertilizer and other agricultural chemical manufacturing [3253]","1,017"
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	",Pharmaceutical and medicine manufacturing [3254],"6,175"
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	","Paint, coating and adhesive manufacturing [3255]","1,018"
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	","Soap, cleaning compound and toilet preparation manufacturing [3256]","1,590"
Goods ,Manufacturing,"Chemical, plastics and rubber","Chemical manufacturing	",Other chemical product manufacturing [3259],"1,624"
Goods ,Manufacturing,"Chemical, plastics and rubber","Plastics and rubber products manufacturing	",Plastic product manufacturing [3261],"8,787"
Goods ,Manufacturing,"Chemical, plastics and rubber","Plastics and rubber products manufacturing	",Rubber product manufacturing [3262],"1,802"
Goods ,Manufacturing,Durable manufacturing industries,"Non-metallic mineral product manufacturing	",Cement and concrete product manufacturing [3273],"3,861"
Goods ,Manufacturing,Durable manufacturing industries,"Non-metallic mineral product manufacturing	",Non-metallic mineral product manufacturing (except cement and concrete products) [327A] 3,"2,508"
