,,,,,"Gross domestic product (GDP) at basic prices, by industry, monthly, industry detail (x 1,000,000) 1 2",,,,,,
,,,,,Monthly,,,,,,
,,,,,Table: 36-10-0434-04 (formerly CANSIM 379-0031),,,,,,
,,,,,Geography: Canada,,,,,,
,,,,,,,,,,,
,,,,,,Seasonally adjusted at annual rates,,,,,
,,,,,,Chained (2007) dollars,,,,,
,,,,,,Canada (map),,,,,
,,,,,North American Industry Classification System (NAICS),Jan-18,Feb-18,Mar-18,Apr-18,May-18,
,,,,,,Dollars,,,,,
All Industries,Goods ,"Agriculture, forestry, fishing and hunting","Agriculture, forestry, fishing and hunting",,Crop production [111],"13,708","13,669","13,626","13,583","13,554",
,,,,,Animal production [112],"5,432","5,509","5,518","5,424","5,543",
,,,,,Forestry and logging [113],"4,381","4,350","4,424","4,507","4,602",
,,,,,"Fishing, hunting and trapping [114]",958,941,949,959,987,
,,,,,Support activities for agriculture and forestry [115],"2,606","2,618","2,618","2,634","2,647",
,,Energy and Mining,"Mining, quarrying, and oil and gas extraction	",Oil and Gas extraction,Conventional oil and gas extraction [211113],"64,527","66,448","67,421","68,623","68,656",
,,,,,Non-conventional oil extraction [211114],"45,281","46,932","48,809","48,855","51,456",
,,,,Mining & quarrying,Coal mining [2121],"1,456","1,428","1,405","1,473","1,496",
,,,,,Iron ore mining [21221],"2,322","2,453","2,563","1,403","1,450",
,,,,,Gold and silver ore mining [21222],"3,063","3,128","3,147","3,020","3,125",
,,,,,"Copper, nickel, lead and zinc ore mining [21223]","10,387","9,725","9,307","9,045","9,691","11,116"
,,,,,Other metal ore mining [21229],"1,652","1,577","1,537","1,506","1,425",
,,,,,Stone mining and quarrying [21231],928,930,933,938,936,
,,,,,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [21232]","1,140","1,150","1,159","1,166","1,174",
,,,,,Potash mining [212396],"1,663","1,971","2,076","1,707","1,712",
,,,,,Other non-metallic mineral mining and quarrying (except potash) [21239X] 3,"2,210","2,134","2,186","2,367","2,080",
,,,,"Support activities for mining and oil and gas extraction	",Support activities for mining and oil and gas extraction [213],"9,073","9,146","9,372","10,051","9,834",
,,Utilities,Utilities,,"Electric power generation, transmission and distribution [2211]","31,608","31,179","31,397","31,928","30,975",
,,,,,Natural gas distribution [2212],"5,415","5,460","5,454","5,489","5,494",
,,,,,"Water, sewage and other systems [2213]","2,982","2,980","2,983","2,984","2,980",
,,Construction,Construction,,Residential building construction [23A],"47,238","47,793","47,402","46,648","47,270",
,,,,,Non-residential building construction [23B],"17,766","17,936","18,036","18,078","17,983",
,,,,,Repair construction [23D],"24,480","24,841","24,805","24,532","24,890",
,,,,,Engineering and other construction activities [23X],"38,394","38,448","38,605","38,545","38,595",
,,Manufacturing,"Non-durable manufacturing industries	",Food Manufacturing,Animal food manufacturing [3111],"1,596","1,625","1,596","1,558","1,704",
,,,,,Grain and oilseed milling [3112],"2,794","2,777","2,864","2,957","3,190",
,,,,,Sugar and confectionery product manufacturing [3113],"1,156","1,151","1,155","1,237","1,136",
,,,,,Fruit and vegetable preserving and specialty food manufacturing [3114],"2,482","2,556","2,536","2,429","2,597",
,,,,,Dairy product manufacturing [3115],"3,037","3,034","2,995","3,038","3,052",
,,,,,Meat product manufacturing [3116],"6,231","6,586","6,326","6,724","6,356",
,,,,,Seafood product preparation and packaging [3117],"1,132","1,043","1,180","1,345","1,313",
,,,,,Bakeries and tortilla manufacturing [3118],"3,034","3,226","2,945","3,091","3,070",
,,,,,Other food manufacturing [3119],"4,221","4,225","4,172","4,467","4,551",
,,,,Beverage and Tobacco Manufacturing,Soft drink and ice manufacturing [31211],"1,451","1,451","1,395","1,372","1,441",
,,,,,Breweries [31212],"2,894","2,916","2,850","2,854","2,949",
,,,,,Wineries and distilleries [3121A] 3,"1,029","1,076","1,147","1,101","1,161",
,,,,,Tobacco manufacturing [3122],704,711,691,731,681,
,,,,"Textile, clothing and leather product manufacturing	",Textile and textile product mills [31A] 3,"1,306","1,323","1,261","1,292","1,313",
,,,,,Clothing and leather and allied product manufacturing [31B] 3,"1,261","1,290","1,243","1,369","1,265",
,,,Durable manufacturing industries,"Wood product manufacturing	",Sawmills and wood preservation [3211],"4,426","4,317","4,148","4,378","4,486",
,,,,,"Veneer, plywood and engineered wood product manufacturing [3212]","3,301","3,208","3,491","3,715","3,523",
,,,,,Other wood product manufacturing [3219],"2,585","2,671","2,616","2,736","2,633",
,,,Paper and Printing,"Paper manufacturing	","Pulp, paper and paperboard mills [3221]","4,265","4,249","4,292","4,270","4,308",
,,,,,Converted paper product manufacturing [3222],"3,200","2,820","2,985","3,319","3,381",
,,,,"Printing and related support activities	",Printing and related support activities [323],"4,643","4,539","4,498","4,527","4,715",
,,,Energy sector,"Petroleum and coal product manufacturing	",Petroleum refineries [32411],"5,818","5,965","5,670","4,477","4,502",
,,,"Chemical, plastics and rubber",,Petroleum and coal products manufacturing (except petroleum refineries) [3241A] 3,855,789,737,812,741,
,,,,"Chemical manufacturing	",Basic chemical manufacturing [3251],"2,490","2,237","2,462","2,568","2,404",
,,,,,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [3252]","1,691","1,654","1,551","1,746","1,715",
,,,,,"Pesticide, fertilizer and other agricultural chemical manufacturing [3253]",916,900,912,873,"1,017",
,,,,,Pharmaceutical and medicine manufacturing [3254],"5,185","5,685","6,158","5,492","6,175",
,,,,,"Paint, coating and adhesive manufacturing [3255]","1,005","1,060",949,"1,022","1,018",
,,,,,"Soap, cleaning compound and toilet preparation manufacturing [3256]","1,494","1,407","1,489","1,447","1,590",
,,,,,Other chemical product manufacturing [3259],"1,612","1,597","1,454","1,566","1,624",
